date;CO;SO2;NO2; dust;fenol
2005-05;1,01389;0,0665;0,08333;0,09861;0,00506
2005-06;1,29487;0,10055;0,06474;0,11282;0,0046
2005-07;0,83468;0,10942;0,0654;0,11895;0,00315
2005-08;1,0766129;0,0958907;0,0630242;0,0665323;0,0028427
2005-09;1,3125;0,08771;0,07617;0,19125;0,00378
2005-10;1,53226;0,12354;0,06472;0,26734;0,00717
2005-11;1,24583;0,08163;0,04362;0,11583;0,00517
2005-12;2;0,15168;0,06036;0,25645;0,00497
2006-01;1,165323;0,089504;0,075565;0,1995935;0,00298
2006-02;1,5;0,1295;0,085848;0,2403587;0,005143
2006-03;1,10121;0,1063008;0,065323;0,1351464;0,004347
2006-04;0,779167;0,096975;0,060292;0,0691667;0,003875
2006-05;0,741667;0,0389375;0,03675;0,0785538;0,0036
2006-06;0,866667;0,0502813;0,050208;0,0691667;0,003821
2006-07;0,798387;0,0461129;0,06125;0,0544355;0,00427
2006-08;0,870968;0,0358427;0,051613;0,0620968;0,00275
2006-09;1,141667;0,0359289;0,057208;0,1104473;0,002392
2006-10;1,365462;0,0225382;0,055827;0,1363595;0,002072
2006-11;1,679167;0,0341833;0,080375;0,2149518;0,004421
2006-12;1,41129;0,0293831;0,084839;0,1688211;0,004548
2007-01;0,991935;0,02004;0,069073;0,133871;0,006286
2007-02;1;0,022321;0,067589;0,112946;0,004147
2007-03;1,157258;0,051645;0,081956;0,116935;0,005472
2007-04;0,741667;0,044088;0,082458;0,126667;0,003521
2007-05;0,584677;0,032008;0,064194;0,059274;0,004706
2007-06;0,620833;0,03545;0,061833;0,092917;0,003442
2007-07;0,604839;0,039274;0,045565;0,0625;0,00269
2007-08;0,657258;0,056746;0,054032;0,129435;0,003972
2007-09;0,883333;0,037058;0,047125;0,1425;0,001867
2007-10;1,100806;0,051137;0,065766;0,184798;0,002375
2007-11;1,429333;0,047937;0,07625;0,271667;0,002092
2007-12;1,145161;0,083968;0,068065;0,246774;0,003008
2008-01;1,734375;0,112969;0,083047;0,403571;0,005555
2008-02;1,916667;0,279031;0,146875;0,487097;0,003448
2008-03;0,649194;0,045028;0,047137;0,114516;0,011169
2008-04;0,475;0,032438;0,045458;0,100417;0,002113
2008-05;0,491935;0,04925;0,042097;0,083871;0,002214
2008-06;0,329167;0,03945;0,032333;0,05375;0,001979
2008-07;0,532258;0,052464;0,055242;0,071371;0,002214
2008-08;0,491935;0,05028;0,040565;0,079032;0,002141
2008-09;0,697095;0,058929;0,049544;0,110788;0,002008
